tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,socks,d,y,MOT,5259350_5260960, ,NA
*FAN,rain+boots,i,n,MOT,5288030_5289580, ,NA
*FAN,mudders,i,n,MOT,5290280_5291320, ,NA
*CXN,rain+boots,n,n,BRO,5292120_5292920, ,NA
*FAN,glasses,d,y,MOT,5308570_5311670, ,NA
*FAN,glasses,n,y,MOT,5308570_5311670, ,NA
*FAN,rain+boots,q,n,MOT,5318400_5322620, ,NA
*FAN,bow,d,n,BRO,5324550_5326520, ,NA
*FAN,arrow,d,n,BRO,5324550_5326520, ,NA
*FAN,bow,d,n,MOT,5324550_5326520, ,NA
*FAN,arrow,d,n,MOT,5324550_5326520, ,NA
*FAN,hanger,d,y,MOT,5327320_5329830, ,NA
*FAN,bow,d,n,MOT,5327320_5329830, ,NA
*FAN,arrow,d,n,MOT,5327320_5329830, ,NA
*FAN,stroller,d,y,MOT,5355030_5357040, ,NA
*FAN,boots,i,y,MOT,5364170_5365170, ,NA
*FAN,mat,d,y,MOT,5368360_5370380, ,NA
*FAN,drawer,d,n,MOT,5368360_5370380, ,NA
*FAN,lawn+darts,q,n,MOT,5391220_5392480, ,NA
*FAN,stroller,d,y,MOT,5419620_5421420, ,NA
*FAN,lawn+darts,q,n,MOT,5467290_5468290, ,NA
*CXN,lawn+darts,d,n,BRO,5482200_5483580, ,NA
*FAN,bike,q,n,MOT,5490310_5491170, ,NA
*OLN,bike,q,n,MOT,5496970_5498550, ,NA
*OLN,helmet,q,n,MOT,5496970_5498550, ,NA
*FAN,bike,q,y,MOT,5500040_5502680, ,NA
*FAN,bike,i,y,MOT,5500040_5502680, ,NA
*CXN,bike,d,y,BRO,5507990_5510610, ,NA
*CXN,bow,d,y,BRO,5507990_5510610, ,NA
*CXN,arrow,d,y,BRO,5507990_5510610, ,NA
*FAN,shirt,d,y,BRO,5511410_5512460, ,NA
*FAN,blanket,d,y,MOT,5520880_5522750, ,NA
*CXN,chair,q,y,BRO,5656170_5658570, ,NA
*FAN,chair,d,y,BRO,5662050_5663260, ,NA
*CXN,chair,q,y,BRO,5664830_5666750, ,NA
*OLN,chair,q,y,BRO,5666750_5671250, ,NA
*CHN,shakers,q,n,MFT,10968440_10969160, ,NA
*CHN,piano,n,n,MOT,10984780_10985710, ,NA
*FAN,bike,q,n,FAT,10997440_10998440, ,NA
*FAN,bread,d,n,MOT,11013430_11014430, ,NA
*FAN,pears,n,n,MOT,11033480_11034480, ,NA
*OLN,pears,n,n,FAT,11034480_11035650, ,NA
*FAN,doors,d,n,MOT,11082400_11084070, ,NA
*MAN,pretzel,n,n,FAT,11378170_11380010, ,NA
*OLN,pretzel,q,n,FAT,11381810_11383640, ,NA
*FAN,hospital,d,n,MOT,12448130_12462880, ,NA
*OLN,Elmo,n,n,BRO,12565230_12566940, ,NA
*OLN,Elmo,n,n,FAT,12565230_12566940, ,NA
*FAN,pears,d,y,BRO,12842000_12843370, ,NA
*OLN,pears,q,y,MOT,12843370_12844510, ,NA
*CXN,pear,q,y,MOT,12847310_12848140, ,NA
*FAN,pear,q,y,MOT,12851420_12852570, ,NA
*FAN,pear,d,y,MOT,12853460_12855010, ,NA
*MAN,pear,q,y,FAT,12954140_12955600, ,NA
*FAN,pear,d,y,FAT,12963560_12965170, ,NA
*MAN,pear,d,y,FAT,12967660_12974810, ,NA
*MAN,pear,q,y,FAT,13012080_13013620, ,NA
*OLF,pear,d,y,BRO,13022070_13023230, ,NA
*MAN,jammies,d,n,FAT,27944860_27948540, ,jammies = pajamas
*MAN,jammies,d,n,FAT,27967640_27972210, ,NA
*MAN,pita+chips,n,n,FAT,28026350_28029600, ,NA
*MAN,remote,d,y,FAT,28410670_28411930, ,NA
*FAN,leg,i,y,FAT,28691150_28692340, ,NA
*CXN,Superman,q,n,BRO,28872150_28874000, ,NA
*FAN,dishwasher,d,y,MOT,29736330_29738570, ,assuming they're in the kitchen, dishwasher is probably present
*FAN,spreader,d,n,MOT,30187930_30188930, ,NA
*FAN,hotdog,q,n,MOT,30205250_30206410, ,NA
*OLN,hammer,q,y,FAT,30853780_30855380, ,NA
*FAN,hammer,q,y,FAT,30857620_30860190, ,NA
*FAN,hammer,n,y,FAT,30861070_30862120, ,NA
*FAN,hammer,d,y,FAT,30867590_30868660, ,NA
*OLN,hammer,n,y,FAT,30869480_30871070, ,NA
*OLN,hammer,n,y,FAT,30869480_30871070, ,NA
*CHN,hammer,n,y,FAT,30872740_30873340, ,NA
*CHN,hammer,n,y,FAT,30872740_30873340, ,NA
*CHN,stroller,i,y,MOT,31052720_31054730, ,NA
*FAN,cardinal,d,y,MOT,31191550_31192590, ,NA
*FAN,cardinal,d,y,MOT,31201430_31202070, ,NA
*FAN,cardinal,q,y,MOT,31203590_31204920, ,NA
*OLN,cardinal,q,y,MOT,31207490_31210090, ,NA
*OLN,cardinal,q,y,MOT,31207490_31210090, ,NA
*FAN,cardinal,q,y,MOT,31228120_31229650, ,NA
*CHN,corn,n,y,MOT,31370910_31371820, ,NA
*FAN,garbanzo+beans,n,y,MOT,31372420_31375250, ,NA
*FAN,corn,d,y,MOT,31457570_31458570, ,NA
*FAN,beans,d,y,MOT,31457570_31458570, ,NA
*CHN,table,i,y,MOT,31484690_31486450, ,NA
*FAN,microwave,d,y,MOT,31488050_31489680, ,NA
*FAN,dish,d,y,MOT,31492020_31494130, ,NA
*FAN,rhino,q,n,FAT,34917490_34918640, ,NA
*OLN,church,n,n,SIS,35113610_35114680, ,NA
